id,curso_id,titulo,descricao,ordem
13,5,Módulo 1: A certeza de realizar seus sonhos mais facilmente,"Deleniti itaque quae enim pariatur. Aperiam nulla provident atque. Vel fugit temporibus molestiae.
Necessitatibus molestias voluptas facilis aut velit provident. Culpa eos officia esse commodi iusto nulla. Inventore voluptatibus fugiat reprehenderit.",1
14,5,Módulo 2: A vantagem de realizar seus sonhos em estado puro,"Asperiores maxime facere suscipit necessitatibus animi. Reprehenderit a nisi illum explicabo. Excepturi illo deleniti nesciunt vero quas.
Veniam rerum eaque ad cupiditate. Aperiam accusamus delectus ducimus modi atque doloremque illo.",2
15,5,Módulo 3: A arte de inovar com força total,"Asperiores consequuntur ipsam corporis nulla impedit. Error aspernatur ea nisi recusandae. Atque ea sint provident odio.
Beatae sed labore animi eveniet perferendis. Quidem placeat nam dicta animi.",3
16,6,Módulo 1: O direito de ganhar antes de tudo,"Ratione laudantium esse. Vitae officiis est ratione a.
Architecto quisquam provident id. Sed voluptatem eos laboriosam accusamus amet quibusdam excepturi.
Exercitationem maxime amet laboriosam facere illo reiciendis. Rerum repellendus facilis nemo.",1
17,6,Módulo 2: A simplicidade de conseguir mais facilmente,"Hic beatae molestias aliquam laboriosam ex unde. Nulla atque deserunt quos a est aliquam pariatur. Libero voluptas aperiam delectus incidunt magnam veniam possimus.
Reiciendis facilis corrupti consequuntur delectus culpa.
Optio vero debitis enim. Dolores minus necessitatibus laudantium nisi.",2
18,6,Módulo 3: A arte de evoluir mais facilmente,"Exercitationem facere molestias dolorum. Minima numquam ullam natus vero aliquam fuga aliquam.
Ab omnis accusantium assumenda cupiditate vero dicta. Ipsum libero dolorem nam nulla.
Nisi provident corporis placeat quas. Facere assumenda distinctio dolore praesentium veniam. A nostrum deleniti ea.",3
19,7,Módulo 1: A segurança de avançar antes de tudo,"Aperiam praesentium eum similique. Eius praesentium tempore. Beatae ab deserunt vero.
Culpa voluptas ducimus tempora. Accusantium neque id perferendis. Fugiat eaque praesentium minima vero eligendi.
Cumque saepe consectetur aperiam. Dolorum saepe fugiat. In maxime accusamus ex nulla animi corporis.",1
20,7,Módulo 2: A certeza de atingir seus objetivos com confiança,Magnam temporibus laudantium necessitatibus architecto. Laboriosam debitis labore corporis aspernatur dignissimos itaque culpa. Quidem error atque ab consectetur neque qui.,2
21,7,Módulo 3: O poder de atingir seus objetivos simplesmente,"Molestias quam eaque ab nam minus dicta. Id qui eligendi cumque possimus delectus laudantium. Officia assumenda unde.
Commodi dicta dicta omnis fuga deserunt. Distinctio voluptas facere dolores facere et.
Tenetur vero iure nulla illum praesentium accusamus. Impedit alias possimus praesentium.",3
22,8,Módulo 1: O direito de mudar com toda a tranquilidade,"Voluptatem molestias dolor. Distinctio ea possimus corrupti corporis commodi.
Libero ducimus tempore assumenda ea doloremque a. Adipisci expedita consequatur non. Mollitia reprehenderit impedit aliquid occaecati.",1
23,8,Módulo 2: A vantagem de inovar com toda a tranquilidade,"Ipsa ut aliquid rem voluptatibus. Illo dolorum esse dolores excepturi. Excepturi numquam iusto saepe quod odit hic. Illo facere aut.
Nemo illo itaque alias itaque accusantium porro.
Aperiam dolores commodi. Temporibus blanditiis consequuntur.",2
24,8,Módulo 3: O prazer de realizar seus sonhos com força total,"Alias fuga enim sunt numquam. Nisi sequi explicabo iste. Dolor velit quo similique molestias.
Rerum placeat maiores tempore. Rerum quia illo totam consequuntur cum eaque iste.
Laborum ad vitae quod minima harum vel neque. Deserunt enim quaerat repellat eaque facere.",3
25,9,Módulo 1: A simplicidade de atingir seus objetivos com toda a tranquilidade,"Porro cupiditate facilis temporibus voluptatum. Ipsa corporis dolor dolor. Sit libero earum libero voluptas.
Cum itaque sapiente animi consequuntur ex sunt. Harum eius labore ullam suscipit occaecati.
Alias quia nisi nostrum libero consectetur. Odit dolores repellendus.",1
26,9,Módulo 2: O prazer de atingir seus objetivos antes de tudo,"Laboriosam animi adipisci cumque repudiandae et. Sed sed facilis mollitia repellat.
Mollitia in perferendis et ratione doloribus vero. Magnam nam tenetur nemo. Quibusdam minima sint voluptas eos. Neque nobis aut voluptates ad.",2
27,9,Módulo 3: A liberdade de concretizar seus projetos direto da fonte,"Sed tenetur nostrum distinctio. Non natus ab qui.
Voluptatibus cum voluptates. Temporibus soluta aliquid atque. Similique aliquid neque possimus.
Ea vero nam amet. Delectus officiis repellat nihil ad nam quidem. Porro perspiciatis quos dolores eveniet dignissimos inventore.",3
28,10,Módulo 1: O poder de ganhar de maneira eficaz,"Quisquam rerum molestias perspiciatis ad eveniet veniam reiciendis. Quo eveniet deserunt facere quod accusantium.
Nisi id asperiores esse iusto iste dolorum. Inventore tenetur provident hic dolor modi adipisci.",1
29,10,Módulo 2: A arte de inovar de maneira eficaz,"Quibusdam distinctio necessitatibus quas fugit totam. Velit exercitationem unde doloribus laborum.
Officia ipsam voluptate accusamus similique ut. Similique temporibus omnis quas quos enim.
Tenetur amet dolor vero eligendi nam in. Aspernatur doloremque odit.",2
30,10,Módulo 3: A certeza de realizar seus sonhos naturalmente,"Reiciendis beatae voluptatum. Amet doloribus libero quasi laboriosam quod.
Accusamus doloribus consequatur. Nihil veniam dolorem sint dignissimos fugiat fuga.
Reprehenderit repellendus iusto aspernatur delectus quis. Illo vero odit id fuga eaque. Deserunt quam quo esse commodi.",3
31,11,Módulo 1: A segurança de ganhar sem preocupação,"Dolorum occaecati accusantium doloremque eligendi reiciendis. Eaque fugit ratione iure modi. Sequi quas rem ex.
Eligendi ratione cum quia at. Tempore vitae quaerat voluptatibus soluta laboriosam.",1
32,11,Módulo 2: O direito de realizar seus sonhos naturalmente,"Sequi illo amet occaecati repellat quas aut odio.
Nisi sunt amet magnam animi. Totam facilis dicta culpa possimus nobis occaecati.
Nostrum alias ea enim veritatis. Ipsam hic excepturi tempore omnis.
Consequuntur id minus deleniti. Explicabo ipsam possimus suscipit debitis aut voluptate.",2
33,11,Módulo 3: A certeza de ganhar naturalmente,"Ducimus molestiae sint aliquam. Sit in aperiam eos. Error nulla dolorum tempore reiciendis.
Unde perspiciatis ullam veniam minus quo itaque incidunt. Ex illum nisi tempora nisi facere. Sequi iusto maiores alias eos.",3
34,12,Módulo 1: A arte de conseguir com força total,"Deserunt amet pariatur adipisci quod error dolorum nostrum. Officiis odio veritatis fuga alias.
Commodi itaque praesentium necessitatibus fugit occaecati iure. Hic neque error error fuga repudiandae tenetur. Quaerat esse ipsa minus deleniti provident.",1
35,12,Módulo 2: O direito de avançar de maneira eficaz,"Itaque voluptates optio necessitatibus omnis error asperiores. Illum doloribus maxime est totam. Voluptatibus sint ut in expedita.
Rerum tenetur facere ex. Facilis asperiores quae ut.
Quia reprehenderit suscipit occaecati inventore. Quasi vel omnis sequi quos eum sint.",2
36,12,Módulo 3: A segurança de conseguir com toda a tranquilidade,"Sunt corrupti perspiciatis a incidunt ex magni accusamus. Vel perspiciatis pariatur odio culpa sequi. Excepturi repellendus quo sed magnam nobis.
Dolores deleniti est tenetur animi velit. Sequi explicabo dignissimos esse id laudantium necessitatibus. Architecto expedita quaerat quidem.",3
37,13,Módulo 1: A simplicidade de conseguir direto da fonte,"Delectus ea necessitatibus porro. Excepturi labore saepe quae nisi tenetur quod.
A vitae maiores ullam molestiae. Sint ipsum dicta dolorem magni similique.
Asperiores nesciunt adipisci. Deleniti deleniti architecto asperiores. Dolore distinctio maiores a sint vitae.",1
38,13,Módulo 2: A segurança de atingir seus objetivos sem preocupação,"Deleniti perspiciatis sit aperiam harum quisquam nulla. Voluptate nemo vero deleniti illum culpa.
Ratione labore cumque aperiam dolores.
Repellendus expedita quod perferendis eveniet reprehenderit. Iste possimus natus ipsa. Molestiae repellat nobis reprehenderit dolores.",2
39,13,Módulo 3: O direito de ganhar mais rapidamente,"Illo amet culpa mollitia numquam. Nam nesciunt porro illum. Praesentium nostrum blanditiis placeat soluta.
Optio possimus explicabo dicta soluta. Dolorum asperiores maxime praesentium maiores ipsam quae. Reiciendis odit eius voluptates vel omnis ad.",3
40,14,Módulo 1: O conforto de concretizar seus projetos de maneira eficaz,"Quo tenetur quae sed sed vero ipsa. Blanditiis recusandae nostrum exercitationem voluptas iure repellat. Libero velit voluptate reiciendis totam placeat.
Perferendis corrupti enim sequi harum omnis. Reprehenderit nihil error quisquam dolor.",1
41,14,Módulo 2: A simplicidade de evoluir naturalmente,"Soluta quaerat nihil rerum in eos soluta.
Consectetur hic a nostrum velit soluta. Recusandae facere quibusdam est.
Cum nihil odit corporis aspernatur. Esse aliquid aperiam illum.
Error qui expedita eveniet accusamus. Unde quam quibusdam debitis. Dolor occaecati nihil unde atque.",2
42,14,Módulo 3: A simplicidade de evoluir antes de tudo,"Magni nemo cumque dignissimos tenetur. Consequuntur vitae eum architecto minima quia blanditiis.
Incidunt corrupti fuga delectus pariatur corporis rem. Corporis maiores repudiandae dolor nisi.
Fugiat temporibus natus corporis saepe. Magnam vero sunt iste molestias enim.",3
43,15,Módulo 1: A vantagem de conseguir antes de tudo,Accusamus voluptas cum natus. Nihil alias occaecati cupiditate inventore mollitia. Expedita similique corporis laboriosam illo consequuntur excepturi.,1
44,15,Módulo 2: A certeza de inovar mais facilmente,"Facilis officia inventore eos delectus animi. Dignissimos accusamus sint aliquid.
Quasi mollitia dicta commodi. Beatae esse suscipit repellat.
Debitis cumque ad maxime suscipit aliquid. Modi mollitia commodi sapiente earum est deleniti.",2
45,15,Módulo 3: A arte de concretizar seus projetos antes de tudo,"Consectetur aliquam ipsa cupiditate quis. Nostrum dicta illo laborum. Iure iste maxime at.
Vel inventore reiciendis error. Ut laboriosam perspiciatis itaque non eaque beatae.
Vero quidem quis iste voluptatum. Explicabo consectetur eveniet eligendi quod praesentium odio.",3
46,16,Módulo 1: A segurança de evoluir mais rapidamente,"Ab excepturi officiis non distinctio. Laborum in ipsam fuga totam nesciunt voluptates excepturi. Explicabo voluptas sed aliquam assumenda.
Aspernatur neque suscipit pariatur.",1
47,16,Módulo 2: O poder de evoluir mais facilmente,"Cumque blanditiis distinctio alias aperiam. Id commodi illum sequi eligendi.
Aliquam dolor quos maxime repellendus rem quae. Eum quae asperiores eius necessitatibus qui.
Nemo corporis ex excepturi hic repudiandae laborum consequatur. Minima dicta deserunt illo.",2
48,16,Módulo 3: A simplicidade de realizar seus sonhos sem preocupação,Quasi ipsam inventore asperiores necessitatibus repudiandae quo. Officia molestiae expedita consectetur tenetur repellat. Numquam labore sunt iste veniam.,3
49,17,Módulo 1: A arte de inovar com confiança,"Nesciunt rem repellendus eius voluptatibus. Itaque libero non labore sint praesentium reprehenderit.
Consectetur deserunt mollitia cumque quisquam corrupti facere. Fugit quasi adipisci architecto iure ipsum suscipit. Placeat aspernatur voluptas corrupti quo.",1
50,17,Módulo 2: A segurança de concretizar seus projetos antes de tudo,Illo quo voluptas aliquid itaque nam voluptatum natus. Aut numquam libero quas nam deserunt totam. Totam amet aliquid quisquam ipsa asperiores. Eius rerum asperiores ad maxime.,2
51,17,Módulo 3: O direito de concretizar seus projetos mais rapidamente,Ipsa fugit reiciendis aliquid pariatur nesciunt. Minima quidem cupiditate asperiores quis sed. Laboriosam architecto laudantium iure fugiat eveniet.,3
52,18,Módulo 1: A segurança de ganhar sem preocupação,"Occaecati quasi autem dolorem enim. Possimus incidunt dolor atque atque numquam.
Incidunt excepturi aspernatur deleniti culpa. Amet sed quo dolorum dolorum iste. Deserunt est laboriosam hic dolore perspiciatis.",1
53,18,Módulo 2: A liberdade de concretizar seus projetos direto da fonte,"Vero ex magni consequuntur nobis cumque. Occaecati soluta nemo aliquid eveniet.
Voluptatum voluptates numquam fuga veritatis eos laborum. Neque voluptas beatae quis. Nostrum maxime repudiandae harum illo.",2
54,18,Módulo 3: O prazer de realizar seus sonhos direto da fonte,Aspernatur repellat nobis modi rerum alias nostrum. Maiores molestias repellendus laboriosam tempora qui incidunt. Provident velit commodi similique amet fugiat perferendis maiores.,3
55,19,Módulo 1: A liberdade de realizar seus sonhos com força total,"Rerum rerum in architecto. Eaque harum similique inventore quo accusantium deleniti. Facilis harum nobis.
Quibusdam iusto expedita repellendus expedita.
Vitae deleniti maiores ratione. Aliquid quidem unde inventore placeat.",1
56,19,Módulo 2: A vantagem de avançar com confiança,"Magnam quod quae cupiditate rem voluptatum expedita. A vitae error dolorem placeat doloribus aperiam iste.
Natus ab nostrum porro provident. Delectus velit nostrum distinctio libero molestiae. Placeat sit voluptatum hic soluta.",2
57,19,Módulo 3: A liberdade de concretizar seus projetos de maneira eficaz,"Dolore similique quisquam pariatur velit. Quo minima nesciunt aliquid. Minima adipisci nulla velit.
Similique nulla quod sed facere est. Quasi qui dolorem totam est. Amet autem minima. Rerum eos quae ab perspiciatis.",3
58,20,Módulo 1: O direito de avançar com toda a tranquilidade,"Sunt libero tempora odio error. Quae modi magni voluptates asperiores.
Ad nisi illum voluptate occaecati. Ex quaerat pariatur tempora. Sunt minima ipsam similique vitae vero sint.
Id magni ullam numquam iure fugiat. Alias eius saepe dignissimos cumque. Totam magnam ex earum consequuntur.",1
59,20,Módulo 2: A possibilidade de conseguir em estado puro,"Suscipit quos voluptates. Hic optio ad maiores architecto odit soluta. Ullam error repellendus culpa architecto incidunt aperiam.
Expedita iure impedit ea corrupti repellat omnis. Vel expedita in odio nisi ab. Dicta eius autem exercitationem quod dicta dicta.",2
60,20,Módulo 3: O poder de evoluir antes de tudo,"Nesciunt maiores pariatur quasi voluptatem nulla laborum. Beatae libero rerum laborum suscipit. Ad incidunt omnis.
Alias dolore dolore.
Omnis maiores facilis quisquam occaecati. Molestiae voluptatibus cum assumenda deserunt.
Fugit illo voluptatum quia. Asperiores aperiam at voluptas cumque.",3
