id,matricula_id,aula_id,concluida,data_conclusao,tempo_assistido_minutos
109,52,56,False,,18
110,52,57,True,2025-07-31T00:00:00,0
111,53,55,True,2025-03-06T00:00:00,15
112,53,56,False,,4
113,53,57,True,2025-03-08T00:00:00,4
114,54,1,False,,9
115,54,2,True,2025-10-23T00:00:00,5
116,55,17,True,2025-03-06T00:00:00,20
117,55,18,True,2025-03-23T00:00:00,15
118,56,6,True,2025-10-28T00:00:00,9
119,57,1,False,,15
120,57,3,False,,35
121,58,55,False,,6
122,58,56,True,2025-08-28T00:00:00,23
123,58,57,True,2025-08-20T00:00:00,10
124,59,56,True,2025-09-13T00:00:00,12
125,60,46,False,,5
126,60,47,True,2025-07-01T00:00:00,10
127,60,48,True,2025-06-30T00:00:00,10
128,61,52,True,2025-09-05T00:00:00,3
129,61,53,True,2025-08-15T00:00:00,1
130,61,54,False,,36
131,62,52,False,,27
132,62,53,False,,20
133,62,54,True,2025-04-07T00:00:00,7
134,63,49,True,2025-10-12T00:00:00,1
135,63,51,False,,12
136,64,10,True,2025-07-31T00:00:00,3
137,64,11,True,2025-08-22T00:00:00,22
138,64,12,False,,23
139,65,7,True,2025-10-30T00:00:00,8
140,65,8,False,,23
141,66,46,True,2025-02-15T00:00:00,7
142,66,47,True,2025-01-31T00:00:00,16
143,67,10,False,,7
144,67,11,True,2025-05-22T00:00:00,2
145,67,12,True,2025-05-30T00:00:00,6
146,68,40,True,2024-11-30T00:00:00,14
147,68,41,True,2024-12-16T00:00:00,16
148,68,42,True,2024-11-28T00:00:00,39
149,69,43,False,,11
150,69,44,True,2025-06-22T00:00:00,27
151,70,17,False,,20
152,71,16,True,2025-06-18T00:00:00,4
153,71,17,True,2025-06-23T00:00:00,41
154,71,18,False,,32
155,72,28,True,2025-02-24T00:00:00,23
156,72,29,False,,4
157,72,30,False,,2
158,73,10,True,2025-09-20T00:00:00,11
159,74,10,True,2024-12-24T00:00:00,1
160,74,12,False,,5
161,75,36,False,,8
162,76,31,True,2025-06-04T00:00:00,17
163,76,32,False,,12
164,77,7,False,,14
165,77,8,True,2025-08-04T00:00:00,37
166,77,9,True,2025-08-18T00:00:00,38
167,78,29,True,2025-08-12T00:00:00,9
168,79,34,True,2025-04-16T00:00:00,8
169,79,35,True,2025-04-27T00:00:00,25
170,79,36,True,2025-04-06T00:00:00,27
171,80,20,True,2025-04-20T00:00:00,0
172,80,21,True,2025-04-13T00:00:00,27
